,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
192463,129707,-0.98432002,0.809110442,1.313431834,0.378640098,1.077080777,0.102875633,1.223544978,-0.064319527,-1.811779644,-0.095408155,-1.177043196,-0.203626696,1.139408969,-0.361021109,-1.274237257,0.967896107,-0.769116363,-0.762870643,-1.50974795,0.209450417,0.258492675,0.522263091,-0.347560932,0.762405289,0.701891989,2.495761332,-0.220928833,0.024871946,76.87,0
229712,146022,0.908636658,2.849024015,-5.647342963,6.009414778,0.216656395,-2.397014424,-1.819307886,0.338526988,-2.819882773,-4.063098108,2.941190093,-6.151362191,-1.989528535,-9.150951006,-0.604289999,-1.9522904,-2.892555332,-0.912057961,-1.563739967,0.241921295,0.407260461,-0.397434853,-0.080005853,-0.168596545,0.465058498,0.210509756,0.648704799,0.36022433,1.18,1
81029,58762,-0.37396496,0.361634234,2.373561685,0.310673143,-0.784006572,0.067550533,-0.150632181,0.35961421,0.581845802,-0.671433143,-0.639201339,-0.501323593,-1.657929341,-0.164314213,0.386335749,-0.240619301,0.324554916,-0.433876741,-0.371161195,-0.1827964,0.01287912,0.144327718,-0.005737447,0.397914752,-0.347845341,0.291212807,0.047656917,0.029172957,11.5,0
40525,40276,1.159373145,2.844794699,-4.050679508,4.777700881,2.948980041,-2.01036111,1.744085818,-0.410286522,-2.450197747,-2.042167863,1.84409317,-2.425932815,-1.584275134,-7.208311579,0.459828383,2.375296198,6.443509864,2.591846063,-2.889770358,-0.059264386,-0.176541019,-0.433469859,-0.529323202,-0.597019605,1.335954053,0.547092071,0.009978944,0.16076915,1,1
223578,143438,-5.256433834,0.364541283,-5.412085016,2.400031491,0.697301199,-1.998755028,-5.835532442,-0.887739383,-2.828286641,-4.614507733,2.710696679,-3.158155698,1.083609148,-3.415151948,-1.053870032,-3.751030733,-9.261640987,-2.955165222,0.606570797,-0.40368491,-0.648259077,0.511284975,-1.110044523,0.178986971,0.220235348,-0.69980855,0.580486717,-0.17362987,8.9,1
91434,63470,-1.564204151,0.253239307,0.374165856,1.539532838,0.423781088,-0.361605454,0.760453237,-0.002482775,-0.399411718,0.246366217,-0.359712093,0.756451751,1.097324252,0.035751892,0.443588871,-1.106788306,0.444530516,-0.720026619,0.585020668,-0.047857274,0.064446289,0.759082482,0.220749719,0.151762315,-0.380927136,-0.272589436,0.035805694,-0.023251332,100.92,0
203325,134766,-1.071284007,0.893980685,-1.393912233,1.184488127,2.223117603,-0.782882472,0.624152042,0.29438033,-0.885704372,-0.815912073,-1.34101878,-0.112226306,0.489160182,-0.818323869,-0.13212714,-0.404984078,1.228495069,0.54626077,0.788297771,0.33787218,0.108440952,0.205780786,-0.347580019,-0.062431561,0.169319283,-0.373892353,0.351176615,0.066051808,1,0
150665,93856,-6.750508516,5.367416051,-10.05463495,9.064477918,-7.968118084,-2.263798414,-10.31756618,4.237665731,-5.324108806,-11.09239237,7.154082842,-17.15040525,-0.095399228,-11.03011036,-1.959054555,-12.44856234,-22.66790541,-9.264608733,1.982356317,-0.081219892,1.909032018,-0.348739731,0.425000563,0.67490867,-0.784208393,-0.247422103,1.159581374,0.197817875,209.65,1
104068,68899,0.901017558,-0.995418568,0.872056381,0.192595669,-1.133904292,0.327022735,-0.729865916,0.115515109,1.129340519,-0.382607564,-1.407100907,0.190575173,0.78280387,-0.616484549,0.952842468,0.875306801,-0.728157813,0.445420107,0.10645349,0.392483353,0.211844313,0.370527451,-0.319429291,-0.45608877,0.1986918,1.185880459,-0.050280318,0.046316924,198,0
99719,67250,1.018612133,-0.272599136,1.22497329,1.141354061,-0.661930036,1.038439295,-0.900784193,0.586134199,0.809710033,-0.086390548,1.151002944,0.691494275,-1.320454045,0.139204598,0.119345294,-0.25855114,0.134348916,-0.322023926,-0.638152651,-0.262527705,0.032206073,0.26926773,0.057014685,-0.310005271,0.195169346,-0.363445554,0.093506611,0.019010354,10.96,0
